completeword	Src/Zle/zle_tricky.c:216
complistmatches	Src/Zle/complist.c:1990
compprintfmt	Src/Zle/complist.c:1072
compprintlist	Src/Zle/complist.c:1367
compprintnl	Src/Zle/complist.c:1054
compunsetfn	Src/Zle/complete.c:1489
compzputs	Src/Zle/complist.c:1338
cond_i_ex	Src/Modules/example.c:95
cond_match	Src/cond.c:552
cond_p_len	Src/Modules/example.c:80
cond_pcre_match	Src/Modules/pcre.c:422
cond_psfix	Src/Zle/complete.c:1662
cond_range	Src/Zle/complete.c:1676
cond_str	Src/cond.c:525
cond_subst	Src/cond.c:41
cond_val	Src/cond.c:539
connectstates	Src/Modules/zutil.c:1119
convamps	Src/hist.c:2395
convbase	Src/params.c:5632
convbase_ptr	Src/params.c:5586
convbase_underscore	Src/params.c:5646
convertattr	Src/Modules/hlgroup.c:40
convfloat	Src/params.c:5690
convfloat_underscore	Src/params.c:5765
copy_ecstr	Src/parse.c:537
copyenvstr	Src/params.c:5434
copyparam	Src/params.c:1236
copyparamtable	Src/params.c:596
copyprevshellword	Src/Zle/zle_misc.c:1108
copyprevword	Src/Zle/zle_misc.c:1066
copyregionaskill	Src/Zle/zle_misc.c:494
countlinknodes	Src/linklist.c:304
countprompt	Src/prompt.c:1140
cp_cline	Src/Zle/compmatch.c:190
cp_cpattern_element	Src/Zle/complete.c:187
cpatterns_same	Src/Zle/compmatch.c:44
cpcmatcher	Src/Zle/complete.c:155
cpcmlist	Src/Zle/compctl.c:291
cpcpattern	Src/Zle/complete.c:218
createaliasnode	Src/hashtable.c:1230
createaliastable	Src/hashtable.c:1188
createaliastables	Src/hashtable.c:1206
createbuiltintable	Src/builtin.c:150
createcmdnamtable	Src/hashtable.c:601
createcompctltable	Src/Zle/compctl.c:70
createhash	Src/Modules/db_gdbm.c:660
createhisttable	Src/hashtable.c:1345
createkeymapnamtab	Src/Zle/zle_keymap.c:153
createnameddirtable	Src/hashnameddir.c:59
createoptiontable	Src/options.c:471
createparam	Src/params.c:1030
createparamtable	Src/params.c:817
createreswdtable	Src/hashtable.c:1120
createshfunctable	Src/hashtable.c:812
createspecialhash	Src/params.c:1182
createthingytab	Src/Zle/zle_thingy.c:60
ctokenize	Src/Zle/compcore.c:1366
ctxtlex	Src/lex.c:317
cur_add_func	Src/parse.c:3489
cursor_form	Src/Zle/termquery.c:913
cut	Src/Zle/zle_utils.c:935
cut_cline	Src/Zle/compresult.c:46
cuttext	Src/Zle/zle_utils.c:946
cv_get_val	Src/Zle/computil.c:3178
cv_inactive	Src/Zle/computil.c:3209
cv_next	Src/Zle/computil.c:3240
cv_parse_word	Src/Zle/computil.c:3336
cv_quote_get_val	Src/Zle/computil.c:3190
dashgetfn	Src/options.c:890
deactivateregion	Src/Zle/zle_move.c:564
dec_tindent	Src/text.c:70
deccs	Src/Zle/zle_move.c:133
decpos	Src/Zle/zle_move.c:152
decrdumpcount	Src/parse.c:3988
decrdumpcount	Src/parse.c:4026
default_bindings	Src/Zle/zle_keymap.c:1309
del_autobin	Src/module.c:464
del_autocond	Src/module.c:819
del_automathfunc	Src/module.c:1436
del_autoparam	Src/module.c:1235
delenv	Src/params.c:5563
delenvvalue	Src/params.c:5542
delete_module	Src/module.c:1687
deleteallptycmds	Src/Modules/zpty.c:517
deletebuiltin	Src/module.c:449
deletechar	Src/Zle/zle_misc.c:157
deletecharorlist	Src/Zle/zle_tricky.c:270
deleteconddef	Src/module.c:724
deletefilelist	Src/jobs.c:1422
deletehashtable	Src/hashtable.c:129
deletehookdef	Src/module.c:902
deletehookdeffunc	Src/module.c:961
deletehookdefs	Src/module.c:923
deletehookfunc	Src/module.c:977
deletejob	Src/jobs.c:1512
deletekeymap	Src/Zle/zle_keymap.c:364
deletemathfunc	Src/module.c:1342
deleteparamdef	Src/module.c:1124
deleteparamtable	Src/params.c:616
deleteptycmd	Src/Modules/zpty.c:490
deleteword	Src/Zle/zle_word.c:604
deletewrapper	Src/module.c:609
deletezlefunction	Src/Zle/zle_thingy.c:310
delpatcomp	Src/Zle/compctl.c:1294
delprepromptfn	Src/utils.c:1332
deltae	Src/Modules/nearcolor.c:41
deltimedfn	Src/utils.c:1430
deltochar	Src/Zle/deltochar.c:38
describekeybriefly	Src/Zle/zle_main.c:1892
difftime	Src/compat.c:175
digitargument	Src/Zle/zle_misc.c:950
digitcount	Src/hist.c:574
dircache_set	Src/hashtable.c:1537
dircmp	Src/utils.c:1296
dirsgetfn	Src/Modules/parameter.c:1147
dirssetfn	Src/Modules/parameter.c:1131
disablehashnode	Src/hashtable.c:323
disableshfuncnode	Src/hashtable.c:855
dispatcharsgetfn	Src/Modules/parameter.c:917
disreswordsgetfn	Src/Modules/parameter.c:885
do_allmatches	Src/Zle/compresult.c:897
do_ambig_menu	Src/Zle/compresult.c:1381
do_ambiguous	Src/Zle/compresult.c:744
do_boot_module	Src/module.c:2139
do_cleanup_module	Src/module.c:2159
do_comp_vars	Src/Zle/complete.c:935
do_completion	Src/Zle/compcore.c:287
do_limit	Src/Builtins/rlimits.c:431
do_load_module	Src/module.c:1610
do_load_module	Src/module.c:1636
do_menucmp	Src/Zle/compresult.c:1253
do_module_features	Src/module.c:1998
do_single	Src/Zle/compresult.c:963
do_unlimit	Src/Builtins/rlimits.c:622
doaccess	Src/cond.c:438
docomplete	Src/Zle/zle_tricky.c:599
docompletion	Src/Zle/zle_tricky.c:2339
doexpandhist	Src/Zle/zle_tricky.c:2802
doexpansion	Src/Zle/zle_tricky.c:2263
doinsert	Src/Zle/zle_misc.c:37
doiscol	Src/Zle/complist.c:635
doisearch	Src/Zle/zle_hist.c:1082
dolstat	Src/cond.c:488
domenuselect	Src/Zle/complist.c:2383
domkdir	Src/Modules/files.c:115
domove	Src/Modules/files.c:298
dontimport	Src/params.c:796
dopadding	Src/subst.c:893
dosavetrap	Src/signals.c:626
dosetopt	Src/options.c:735
doshfunc	Src/exec.c:5823
dostat	Src/cond.c:474
dotrap	Src/signals.c:1245
dotrapargs	Src/signals.c:1081
dovilinerange	Src/Zle/zle_vi.c:302
dowatch	Src/Modules/watch.c:597
down_histent	Src/hist.c:1311
downcaseword	Src/Zle/zle_word.c:555
downhistory	Src/Zle/zle_hist.c:434
downline	Src/Zle/zle_hist.c:332
downlineorhistory	Src/Zle/zle_hist.c:370
downlineorsearch	Src/Zle/zle_hist.c:400
dputs	Src/utils.c:253
dquote_parse	Src/lex.c:1486
dquotedztrdup	Src/utils.c:6649
dstackent	Src/subst.c:4902
dtime_ts	Src/jobs.c:152
dtime_tv	Src/jobs.c:137
dump_autoload	Src/parse.c:4042
dump_find_func	Src/parse.c:3167
dumphashtable	Src/Zle/compctl.c:2106
dumptime	Src/jobs.c:1020
dup_qual_list	Src/glob.c:1054
dupbrinfo	Src/Zle/zle_tricky.c:1033
dupeprog	Src/parse.c:2767
dupmatch	Src/Zle/compcore.c:3370
dupstring	Src/string.c:33
dupstring_wlen	Src/string.c:48
dupstrpfx	Src/string.c:161
